condition,episode,mean_steps,std_steps
no_shaping,1,350.0,0.0
no_shaping,2,350.0,0.0
no_shaping,3,350.0,0.0
no_shaping,4,350.0,0.0
no_shaping,5,350.0,0.0
no_shaping,6,350.0,0.0
no_shaping,7,350.0,0.0
no_shaping,8,350.0,0.0
no_shaping,9,350.0,0.0
no_shaping,10,350.0,0.0
no_shaping,11,350.0,0.0
no_shaping,12,350.0,0.0
no_shaping,13,350.0,0.0
no_shaping,14,350.0,0.0
no_shaping,15,350.0,0.0
no_shaping,16,350.0,0.0
no_shaping,17,349.8333333333333,0.5527707983925665
no_shaping,18,350.0,0.0
no_shaping,19,350.0,0.0
no_shaping,20,350.0,0.0
no_shaping,21,350.0,0.0
no_shaping,22,350.0,0.0
no_shaping,23,350.0,0.0
no_shaping,24,350.0,0.0
no_shaping,25,350.0,0.0
no_shaping,26,350.0,0.0
no_shaping,27,350.0,0.0
no_shaping,28,350.0,0.0
no_shaping,29,350.0,0.0
no_shaping,30,350.0,0.0
no_shaping,31,350.0,0.0
no_shaping,32,350.0,0.0
no_shaping,33,350.0,0.0
no_shaping,34,350.0,0.0
no_shaping,35,350.0,0.0
no_shaping,36,350.0,0.0
no_shaping,37,350.0,0.0
no_shaping,38,350.0,0.0
no_shaping,39,350.0,0.0
no_shaping,40,350.0,0.0
no_shaping,41,350.0,0.0
no_shaping,42,342.4166666666667,25.151071326861786
no_shaping,43,350.0,0.0
no_shaping,44,350.0,0.0
no_shaping,45,350.0,0.0
no_shaping,46,350.0,0.0
no_shaping,47,350.0,0.0
no_shaping,48,348.5833333333333,4.698551786336817
no_shaping,49,350.0,0.0
no_shaping,50,350.0,0.0
no_shaping,51,350.0,0.0
no_shaping,52,350.0,0.0
no_shaping,53,350.0,0.0
no_shaping,54,350.0,0.0
no_shaping,55,350.0,0.0
no_shaping,56,350.0,0.0
no_shaping,57,350.0,0.0
no_shaping,58,350.0,0.0
no_shaping,59,350.0,0.0
no_shaping,60,350.0,0.0
no_shaping,61,350.0,0.0
no_shaping,62,350.0,0.0
no_shaping,63,350.0,0.0
no_shaping,64,350.0,0.0
no_shaping,65,350.0,0.0
no_shaping,66,350.0,0.0
no_shaping,67,350.0,0.0
no_shaping,68,350.0,0.0
no_shaping,69,343.5,21.558061137310098
no_shaping,70,350.0,0.0
no_shaping,71,350.0,0.0
no_shaping,72,350.0,0.0
no_shaping,73,350.0,0.0
no_shaping,74,350.0,0.0
no_shaping,75,350.0,0.0
no_shaping,76,350.0,0.0
no_shaping,77,350.0,0.0
no_shaping,78,350.0,0.0
no_shaping,79,350.0,0.0
no_shaping,80,350.0,0.0
no_shaping,81,350.0,0.0
no_shaping,82,350.0,0.0
no_shaping,83,350.0,0.0
no_shaping,84,350.0,0.0
no_shaping,85,350.0,0.0
no_shaping,86,350.0,0.0
no_shaping,87,350.0,0.0
no_shaping,88,350.0,0.0
no_shaping,89,350.0,0.0
no_shaping,90,350.0,0.0
no_shaping,91,350.0,0.0
no_shaping,92,350.0,0.0
no_shaping,93,350.0,0.0
no_shaping,94,350.0,0.0
no_shaping,95,350.0,0.0
no_shaping,96,350.0,0.0
no_shaping,97,350.0,0.0
no_shaping,98,350.0,0.0
no_shaping,99,350.0,0.0
no_shaping,100,350.0,0.0
no_shaping,101,350.0,0.0
no_shaping,102,350.0,0.0
no_shaping,103,350.0,0.0
no_shaping,104,350.0,0.0
no_shaping,105,350.0,0.0
no_shaping,106,349.6666666666667,1.1055415967851332
no_shaping,107,350.0,0.0
no_shaping,108,350.0,0.0
no_shaping,109,350.0,0.0
no_shaping,110,350.0,0.0
no_shaping,111,350.0,0.0
no_shaping,112,350.0,0.0
no_shaping,113,350.0,0.0
no_shaping,114,350.0,0.0
no_shaping,115,350.0,0.0
no_shaping,116,350.0,0.0
no_shaping,117,350.0,0.0
no_shaping,118,350.0,0.0
no_shaping,119,350.0,0.0
no_shaping,120,350.0,0.0
no_shaping,121,350.0,0.0
no_shaping,122,350.0,0.0
no_shaping,123,350.0,0.0
no_shaping,124,350.0,0.0
no_shaping,125,350.0,0.0
no_shaping,126,350.0,0.0
no_shaping,127,350.0,0.0
no_shaping,128,350.0,0.0
no_shaping,129,350.0,0.0
no_shaping,130,350.0,0.0
no_shaping,131,350.0,0.0
